state_name,area,region
Rajasthan,342239,Northern
Madhya Pradesh,308252,Central
Maharashtra,307713,Western
Uttar Pradesh,240928,North Central
Gujarat,196024,Western
Karnataka,191791,Southern
Andhra Pradesh,160205,Southern
Orissa,155707,Eastern
Chhattisgarh,135191,Central
Tamil Nadu,130058,Southern
Telangana,112077,Southern
Bihar,94163,North Central
West Bengal,88752,Eastern
Arunachal Pradesh,83743,Northeastern
Jharkhand,79714,Eastern
Assam,78438,Northeastern
Ladakh,59146,Northern
Himachal Pradesh,55673,Northern
Uttaranchal,53483,Northern
Punjab,50362,Northern
Haryana,44212,Northern
Jammu & Kashmir,42241,Northern
Kerala,38863,Southern
Meghalaya,22429,Northeastern
Manipur,22327,Northeastern
Mizoram,21081,Northeastern
Nagaland,16579,Northeastern
Tripura,10486,Northeastern
Andaman and Nicobar Islands,8249,Bay of Bengal
Sikkim,7096,Northeastern
Goa,3702,Western
NCT Delhi,1483,Northern
Dadra and Nagar Haveli and Daman and Diu,603,Western
Puducherry,479,Southern
Chandigarh,114,Northern
Lakshadweep,32,Arabian Sea
